id,Attrition
1677,0.362
1678,0.092
1679,0.102
1680,0.082
1681,0.526
1682,0.216
1683,0.142
1684,0.254
1685,0.13
1686,0.218
1687,0.06
1688,0.296
1689,0.07
1690,0.094
1691,0.27
1692,0.468
1693,0.338
1694,0.274
1695,0.48
1696,0.134
1697,0.476
1698,0.122
1699,0.196
1700,0.094
1701,0.336
1702,0.108
1703,0.108
1704,0.072
1705,0.156
1706,0.112
1707,0.196
1708,0.036
1709,0.202
1710,0.376
1711,0.248
1712,0.686
1713,0.056
1714,0.254
1715,0.068
1716,0.19
1717,0.12
1718,0.252
1719,0.064
1720,0.052
1721,0.402
1722,0.22
1723,0.032
1724,0.212
1725,0.112
1726,0.11
1727,0.118
1728,0.236
1729,0.078
1730,0.078
1731,0.086
1732,0.486
1733,0.096
1734,0.138
1735,0.27
1736,0.216
1737,0.19
1738,0.108
1739,0.04
1740,0.108
1741,0.146
1742,0.064
1743,0.306
1744,0.154
1745,0.036
1746,0.04
1747,0.214
1748,0.076
1749,0.094
1750,0.322
1751,0.402
1752,0.158
1753,0.09
1754,0.468
1755,0.044
1756,0.196
1757,0.05
1758,0.02
1759,0.058
1760,0.14
1761,0.012
1762,0.12
1763,0.074
1764,0.19
1765,0.212
1766,0.116
1767,0.098
1768,0.506
1769,0.276
1770,0.284
1771,0.182
1772,0.04
1773,0.342
1774,0.254
1775,0.13
1776,0.028
1777,0.142
1778,0.694
1779,0.15
1780,0.158
1781,0.076
1782,0.046
1783,0.122
1784,0.27
1785,0.468
1786,0.216
1787,0.182
1788,0.15
1789,0.248
1790,0.236
1791,0.292
1792,0.026
1793,0.534
1794,0.174
1795,0.082
1796,0.302
1797,0.246
1798,0.206
1799,0.05
1800,0.098
1801,0.192
1802,0.348
1803,0.16
1804,0.134
1805,0.558
1806,0.102
1807,0.2
1808,0.206
1809,0.392
1810,0.232
1811,0.066
1812,0.38
1813,0.384
1814,0.04
1815,0.16
1816,0.218
1817,0.038
1818,0.188
1819,0.094
1820,0.032
1821,0.258
1822,0.116
1823,0.1
1824,0.248
1825,0.11
1826,0.23
1827,0.032
1828,0.128
1829,0.532
1830,0.222
1831,0.694
1832,0.054
1833,0.1
1834,0.194
1835,0.184
1836,0.084
1837,0.132
1838,0.114
1839,0.056
1840,0.104
1841,0.156
1842,0.152
1843,0.098
1844,0.058
1845,0.3
1846,0.132
1847,0.022
1848,0.176
1849,0.046
1850,0.298
1851,0.402
1852,0.04
1853,0.126
1854,0.128
1855,0.246
1856,0.342
1857,0.092
1858,0.318
1859,0.04
1860,0.03
1861,0.068
1862,0.078
1863,0.526
1864,0.01
1865,0.05
1866,0.198
1867,0.17
1868,0.366
1869,0.61
1870,0.16
1871,0.148
1872,0.04
1873,0.118
1874,0.098
1875,0.154
1876,0.168
1877,0.214
1878,0.052
1879,0.08
1880,0.32
1881,0.212
1882,0.058
1883,0.072
1884,0.082
1885,0.224
1886,0.282
1887,0.092
1888,0.156
1889,0.066
1890,0.18
1891,0.158
1892,0.372
1893,0.088
1894,0.034
1895,0.072
1896,0.058
1897,0.096
1898,0.038
1899,0.084
1900,0.194
1901,0.302
1902,0.022
1903,0.036
1904,0.106
1905,0.11
1906,0.132
1907,0.602
1908,0.174
1909,0.032
1910,0.1
1911,0.06
1912,0.032
1913,0.03
1914,0.1
1915,0.104
1916,0.348
1917,0.344
1918,0.016
1919,0.058
1920,0.136
1921,0.084
1922,0.088
1923,0.138
1924,0.324
1925,0.044
1926,0.194
1927,0.038
1928,0.168
1929,0.184
1930,0.136
1931,0.19
1932,0.118
1933,0.152
1934,0.488
1935,0.084
1936,0.302
1937,0.036
1938,0.354
1939,0.36
1940,0.042
1941,0.048
1942,0.214
1943,0.122
1944,0.098
1945,0.064
1946,0.1
1947,0.366
1948,0.18
1949,0.098
1950,0.12
1951,0.268
1952,0.252
1953,0.038
1954,0.1
1955,0.04
1956,0.06
1957,0.112
1958,0.228
1959,0.048
1960,0.212
1961,0.102
1962,0.092
1963,0.232
1964,0.256
1965,0.12
1966,0.038
1967,0.422
1968,0.466
1969,0.078
1970,0.602
1971,0.474
1972,0.082
1973,0.05
1974,0.366
1975,0.194
1976,0.252
1977,0.12
1978,0.022
1979,0.168
1980,0.084
1981,0.088
1982,0.042
1983,0.268
1984,0.216
1985,0.076
1986,0.178
1987,0.074
1988,0.024
1989,0.462
1990,0.038
1991,0.108
1992,0.082
1993,0.044
1994,0.078
1995,0.114
1996,0.084
1997,0.134
1998,0.06
1999,0.042
2000,0.236
2001,0.194
2002,0.084
2003,0.556
2004,0.216
2005,0.056
2006,0.12
2007,0.088
2008,0.152
2009,0.036
2010,0.292
2011,0.264
2012,0.016
2013,0.118
2014,0.078
2015,0.022
2016,0.18
2017,0.204
2018,0.068
2019,0.124
2020,0.164
2021,0.012
2022,0.026
2023,0.342
2024,0.394
2025,0.174
2026,0.124
2027,0.226
2028,0.11
2029,0.06
2030,0.024
2031,0.04
2032,0.084
2033,0.302
2034,0.128
2035,0.134
2036,0.15
2037,0.454
2038,0.164
2039,0.078
2040,0.374
2041,0.41
2042,0.21
2043,0.36
2044,0.228
2045,0.08
2046,0.066
2047,0.124
2048,0.26
2049,0.302
2050,0.086
2051,0.044
2052,0.112
2053,0.076
2054,0.254
2055,0.192
2056,0.53
2057,0.224
2058,0.132
2059,0.222
2060,0.02
2061,0.286
2062,0.636
2063,0.34
2064,0.052
2065,0.518
2066,0.144
2067,0.258
2068,0.104
2069,0.454
2070,0.116
2071,0.204
2072,0.156
2073,0.078
2074,0.352
2075,0.104
2076,0.218
2077,0.416
2078,0.066
2079,0.264
2080,0.272
2081,0.074
2082,0.04
2083,0.118
2084,0.04
2085,0.096
2086,0.18
2087,0.294
2088,0.646
2089,0.108
2090,0.058
2091,0.19
2092,0.142
2093,0.292
2094,0.03
2095,0.362
2096,0.138
2097,0.046
2098,0.018
2099,0.188
2100,0.188
2101,0.214
2102,0.422
2103,0.066
2104,0.124
2105,0.128
2106,0.062
2107,0.252
2108,0.066
2109,0.034
2110,0.056
